total_comments,root_degree,avg_tree_size,avg_depth
8,6,1.3333333333333333,1.3333333333333333
1,1,1.0,1.0
1,1,1.0,1.0
15,4,3.75,1.75
2,2,1.0,1.0
1,1,1.0,1.0
2,2,1.0,1.0
25,10,2.5,1.6
48,23,2.0869565217391304,1.608695652173913
3,2,1.5,1.5
61,43,1.4186046511627908,1.255813953488372
2,2,1.0,1.0
8,8,1.0,1.0
2,2,1.0,1.0
1,1,1.0,1.0
2,2,1.0,1.0
2,2,1.0,1.0
2,2,1.0,1.0
10,2,5.0,4.5
5,3,1.6666666666666667,1.6666666666666667
3,2,1.5,1.5
5,2,2.5,2.5
8,6,1.3333333333333333,1.3333333333333333
225,60,3.75,2.3833333333333333
97,35,2.7714285714285714,2.057142857142857
2,2,1.0,1.0
9,4,2.25,2.25
2,2,1.0,1.0
18,6,3.0,2.6666666666666665
2,1,2.0,2.0
2,1,2.0,2.0
1,1,1.0,1.0
3,2,1.5,1.5
11,1,11.0,8.0
10,8,1.25,1.25
2,1,2.0,2.0
12,4,3.0,2.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
7,5,1.4,1.4
21,10,2.1,1.6
1,1,1.0,1.0
1,1,1.0,1.0
7,5,1.4,1.4
1,1,1.0,1.0
2,1,2.0,2.0
1,1,1.0,1.0
4,4,1.0,1.0
2,2,1.0,1.0
2,1,2.0,2.0
2,2,1.0,1.0
2,1,2.0,2.0
2,1,2.0,2.0
1,1,1.0,1.0
47,22,2.1363636363636362,1.7727272727272727
2,1,2.0,2.0
1,1,1.0,1.0
6,4,1.5,1.25
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
410,137,2.9927007299270074,1.9708029197080292
1,1,1.0,1.0
1,1,1.0,1.0
3,2,1.5,1.5
3,3,1.0,1.0
11,5,2.2,2.0
43,15,2.8666666666666667,2.2
1,1,1.0,1.0
2,2,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
2,1,2.0,2.0
4,2,2.0,1.5
2,1,2.0,2.0
1,1,1.0,1.0
2,1,2.0,2.0
1,1,1.0,1.0
12,7,1.7142857142857142,1.5714285714285714
1,1,1.0,1.0
1,1,1.0,1.0
13,9,1.4444444444444444,1.4444444444444444
2,1,2.0,2.0
1,1,1.0,1.0
2,2,1.0,1.0
6,4,1.5,1.25
1,1,1.0,1.0
5,1,5.0,4.0
1,1,1.0,1.0
6,4,1.5,1.5
38,22,1.7272727272727273,1.4090909090909092
501,188,2.6648936170212765,1.7925531914893618
1,1,1.0,1.0
37,8,4.625,2.5
11,8,1.375,1.375
105,27,3.888888888888889,2.2962962962962963
2,2,1.0,1.0
2,2,1.0,1.0
1,1,1.0,1.0
216,64,3.375,2.109375
1,1,1.0,1.0
2,2,1.0,1.0
2,2,1.0,1.0
6,4,1.5,1.5
2,1,2.0,2.0
1,1,1.0,1.0
24,8,3.0,2.5
16,10,1.6,1.5
1,1,1.0,1.0
1,1,1.0,1.0
5,5,1.0,1.0
8,2,4.0,3.5
1,1,1.0,1.0
55,11,5.0,2.909090909090909
15,5,3.0,2.2
1,1,1.0,1.0
9,6,1.5,1.3333333333333333
11,8,1.375,1.25
1,1,1.0,1.0
4,4,1.0,1.0
6,4,1.5,1.5
17,7,2.4285714285714284,1.8571428571428572
28,7,4.0,3.4285714285714284
1,1,1.0,1.0
61,20,3.05,2.3
8,6,1.3333333333333333,1.1666666666666667
29,12,2.4166666666666665,2.0
2,1,2.0,2.0
30,11,2.727272727272727,2.4545454545454546
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
3,2,1.5,1.5
4,3,1.3333333333333333,1.3333333333333333
775,189,4.1005291005291005,2.0317460317460316
4,3,1.3333333333333333,1.3333333333333333
4,4,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
15,4,3.75,3.0
1,1,1.0,1.0
1,1,1.0,1.0
2,2,1.0,1.0
2,2,1.0,1.0
3,3,1.0,1.0
3,2,1.5,1.5
2,2,1.0,1.0
4,3,1.3333333333333333,1.3333333333333333
1,1,1.0,1.0
1,1,1.0,1.0
56,12,4.666666666666667,3.25
3,3,1.0,1.0
10,4,2.5,2.0
1,1,1.0,1.0
68,62,1.096774193548387,1.096774193548387
1,1,1.0,1.0
6,5,1.2,1.2
1,1,1.0,1.0
9,6,1.5,1.3333333333333333
161,19,8.473684210526315,3.3157894736842106
2,2,1.0,1.0
1,1,1.0,1.0
121,30,4.033333333333333,2.2333333333333334
2,1,2.0,2.0
2,2,1.0,1.0
1,1,1.0,1.0
5,2,2.5,1.5
13,7,1.8571428571428572,1.4285714285714286
47,18,2.611111111111111,2.0
5,1,5.0,5.0
9,6,1.5,1.5
19,6,3.1666666666666665,2.5
1,1,1.0,1.0
4,3,1.3333333333333333,1.3333333333333333
3,1,3.0,3.0
12,8,1.5,1.375
4,3,1.3333333333333333,1.3333333333333333
14,8,1.75,1.625
2,2,1.0,1.0
113,66,1.7121212121212122,1.3333333333333333
1,1,1.0,1.0
5,2,2.5,2.5
9,8,1.125,1.125
5,3,1.6666666666666667,1.6666666666666667
1,1,1.0,1.0
2,1,2.0,2.0
1,1,1.0,1.0
4,4,1.0,1.0
2,1,2.0,2.0
5,5,1.0,1.0
21,13,1.6153846153846154,1.3846153846153846
2,1,2.0,2.0
3,3,1.0,1.0
2,1,2.0,2.0
2,1,2.0,2.0
40,22,1.8181818181818181,1.5909090909090908
66,19,3.473684210526316,1.631578947368421
2,1,2.0,2.0
48,19,2.526315789473684,1.9473684210526316
1,1,1.0,1.0
1,1,1.0,1.0
2,2,1.0,1.0
1,1,1.0,1.0
2,2,1.0,1.0
2,1,2.0,2.0
29,7,4.142857142857143,2.5714285714285716
52,27,1.9259259259259258,1.5925925925925926
3,3,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
4,4,1.0,1.0
1,1,1.0,1.0
19,16,1.1875,1.125
1,1,1.0,1.0
1,1,1.0,1.0
9,4,2.25,1.5
1,1,1.0,1.0
2,2,1.0,1.0
1,1,1.0,1.0
8,6,1.3333333333333333,1.3333333333333333
15,11,1.3636363636363635,1.3636363636363635
1,1,1.0,1.0
111,25,4.44,2.68
4,3,1.3333333333333333,1.3333333333333333
1,1,1.0,1.0
1,1,1.0,1.0
20,13,1.5384615384615385,1.3076923076923077
11,9,1.2222222222222223,1.2222222222222223
10,7,1.4285714285714286,1.2857142857142858
976,174,5.609195402298851,2.2413793103448274
5,3,1.6666666666666667,1.6666666666666667
1,1,1.0,1.0
4,3,1.3333333333333333,1.3333333333333333
2,1,2.0,2.0
3,2,1.5,1.5
1,1,1.0,1.0
14,6,2.3333333333333335,2.1666666666666665
1,1,1.0,1.0
2,1,2.0,2.0
20,8,2.5,2.375
1,1,1.0,1.0
39,17,2.2941176470588234,2.176470588235294
1,1,1.0,1.0
10,5,2.0,2.0
44,12,3.6666666666666665,2.4166666666666665
6,6,1.0,1.0
33,16,2.0625,1.625
1,1,1.0,1.0
6,5,1.2,1.2
8,3,2.6666666666666665,2.6666666666666665
2,2,1.0,1.0
1,1,1.0,1.0
3,3,1.0,1.0
9,3,3.0,2.3333333333333335
1,1,1.0,1.0
2,2,1.0,1.0
10,3,3.3333333333333335,3.0
1,1,1.0,1.0
9,6,1.5,1.5
8,6,1.3333333333333333,1.3333333333333333
3,2,1.5,1.5
4,2,2.0,2.0
1,1,1.0,1.0
25,6,4.166666666666667,2.8333333333333335
1,1,1.0,1.0
4,4,1.0,1.0
7,3,2.3333333333333335,2.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
13,5,2.6,2.0
21,10,2.1,1.6
1,1,1.0,1.0
6,4,1.5,1.25
2,2,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
5,5,1.0,1.0
3,2,1.5,1.5
1,1,1.0,1.0
8,4,2.0,2.0
1,1,1.0,1.0
8,6,1.3333333333333333,1.3333333333333333
1,1,1.0,1.0
9,8,1.125,1.125
1,1,1.0,1.0
11,6,1.8333333333333333,1.8333333333333333
49,21,2.3333333333333335,1.8571428571428572
13,3,4.333333333333333,4.0
2,2,1.0,1.0
1,1,1.0,1.0
13,11,1.1818181818181819,1.1818181818181819
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
6,5,1.2,1.2
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
15,4,3.75,2.0
5,3,1.6666666666666667,1.6666666666666667
2,2,1.0,1.0
5,3,1.6666666666666667,1.6666666666666667
2,2,1.0,1.0
22,6,3.6666666666666665,2.6666666666666665
3,3,1.0,1.0
1,1,1.0,1.0
2,2,1.0,1.0
79,31,2.5483870967741935,1.6774193548387097
1,1,1.0,1.0
1,1,1.0,1.0
38,14,2.7142857142857144,2.357142857142857
2,1,2.0,2.0
2,2,1.0,1.0
16,7,2.2857142857142856,1.7142857142857142
1,1,1.0,1.0
4,4,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
4,1,4.0,2.0
1,1,1.0,1.0
9,7,1.2857142857142858,1.2857142857142858
2,2,1.0,1.0
1,1,1.0,1.0
26,9,2.888888888888889,2.3333333333333335
1,1,1.0,1.0
13,2,6.5,4.5
6,4,1.5,1.5
3,2,1.5,1.5
1,1,1.0,1.0
1,1,1.0,1.0
46,17,2.7058823529411766,2.1176470588235294
1,1,1.0,1.0
1,1,1.0,1.0
4,4,1.0,1.0
9,3,3.0,2.0
8,2,4.0,4.0
3,2,1.5,1.5
3,3,1.0,1.0
5,1,5.0,2.0
18,10,1.8,1.6
20,5,4.0,3.0
17,14,1.2142857142857142,1.1428571428571428
8,4,2.0,1.5
1,1,1.0,1.0
2,2,1.0,1.0
28,15,1.8666666666666667,1.5333333333333334
4,1,4.0,3.0
2,1,2.0,2.0
12,4,3.0,1.75
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
17,4,4.25,3.25
1,1,1.0,1.0
1,1,1.0,1.0
516,260,1.9846153846153847,1.3346153846153845
1,1,1.0,1.0
1,1,1.0,1.0
7,4,1.75,1.25
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
5,5,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
18,10,1.8,1.8
57,21,2.7142857142857144,1.9523809523809523
1,1,1.0,1.0
1,1,1.0,1.0
2,1,2.0,2.0
4,2,2.0,2.0
11,7,1.5714285714285714,1.5714285714285714
1,1,1.0,1.0
66,15,4.4,2.4
145,60,2.4166666666666665,1.8666666666666667
20,9,2.2222222222222223,2.0
1,1,1.0,1.0
4,2,2.0,1.5
1,1,1.0,1.0
21,11,1.9090909090909092,1.7272727272727273
3,3,1.0,1.0
70,30,2.3333333333333335,1.7
1,1,1.0,1.0
33,7,4.714285714285714,2.5714285714285716
7,1,7.0,7.0
3,2,1.5,1.5
9,4,2.25,1.75
12,6,2.0,1.8333333333333333
5,3,1.6666666666666667,1.6666666666666667
1,1,1.0,1.0
1,1,1.0,1.0
4,2,2.0,1.5
19,4,4.75,3.5
1,1,1.0,1.0
13,4,3.25,2.0
2,2,1.0,1.0
2,2,1.0,1.0
3,2,1.5,1.5
1,1,1.0,1.0
1,1,1.0,1.0
49,14,3.5,2.2857142857142856
24,4,6.0,3.25
1,1,1.0,1.0
2,2,1.0,1.0
14,10,1.4,1.4
51,20,2.55,1.75
1,1,1.0,1.0
1,1,1.0,1.0
2,2,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
26,11,2.3636363636363638,1.8181818181818181
1,1,1.0,1.0
1,1,1.0,1.0
2,1,2.0,2.0
2,1,2.0,2.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
6,4,1.5,1.5
4,2,2.0,2.0
1,1,1.0,1.0
12,5,2.4,2.0
10,10,1.0,1.0
5,3,1.6666666666666667,1.6666666666666667
2,2,1.0,1.0
54,5,10.8,4.6
44,14,3.142857142857143,2.2857142857142856
216,48,4.5,2.0833333333333335
23,14,1.6428571428571428,1.5714285714285714
3,3,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
2,2,1.0,1.0
38,7,5.428571428571429,3.2857142857142856
1,1,1.0,1.0
2,2,1.0,1.0
4,2,2.0,2.0
10,4,2.5,2.0
8,7,1.1428571428571428,1.1428571428571428
8,3,2.6666666666666665,2.6666666666666665
7,5,1.4,1.2
41,21,1.9523809523809523,1.7142857142857142
6,4,1.5,1.5
265,143,1.8531468531468531,1.3426573426573427
8,8,1.0,1.0
120,31,3.870967741935484,2.064516129032258
2,2,1.0,1.0
1,1,1.0,1.0
49,16,3.0625,2.5
2,2,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
23,15,1.5333333333333334,1.4666666666666666
4,3,1.3333333333333333,1.3333333333333333
3,2,1.5,1.5
16,11,1.4545454545454546,1.4545454545454546
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
4,4,1.0,1.0
7,4,1.75,1.75
1,1,1.0,1.0
8,5,1.6,1.6
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
5,2,2.5,2.5
18,7,2.5714285714285716,2.142857142857143
4,2,2.0,2.0
3,2,1.5,1.5
1,1,1.0,1.0
4,4,1.0,1.0
9,7,1.2857142857142858,1.2857142857142858
2,1,2.0,2.0
13,5,2.6,2.0
2,1,2.0,2.0
4,4,1.0,1.0
1,1,1.0,1.0
2,2,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
5,2,2.5,2.0
3,2,1.5,1.5
2,1,2.0,2.0
4,2,2.0,2.0
1,1,1.0,1.0
21,11,1.9090909090909092,1.8181818181818181
4,3,1.3333333333333333,1.3333333333333333
3,2,1.5,1.5
162,24,6.75,2.75
1,1,1.0,1.0
1,1,1.0,1.0
56,19,2.9473684210526314,1.6842105263157894
11,2,5.5,3.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
3,3,1.0,1.0
1,1,1.0,1.0
124,15,8.266666666666667,3.2666666666666666
1,1,1.0,1.0
4,4,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
3,2,1.5,1.5
1,1,1.0,1.0
1,1,1.0,1.0
5,3,1.6666666666666667,1.6666666666666667
1,1,1.0,1.0
1,1,1.0,1.0
9,8,1.125,1.125
6,6,1.0,1.0
1,1,1.0,1.0
22,13,1.6923076923076923,1.6153846153846154
3,3,1.0,1.0
2,2,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
4,4,1.0,1.0
20,15,1.3333333333333333,1.3333333333333333
14,14,1.0,1.0
27,7,3.857142857142857,2.7142857142857144
2,1,2.0,2.0
1,1,1.0,1.0
4,2,2.0,2.0
1,1,1.0,1.0
19,14,1.3571428571428572,1.3571428571428572
185,31,5.967741935483871,2.967741935483871
1,1,1.0,1.0
35,10,3.5,2.2
2,1,2.0,2.0
34,11,3.090909090909091,2.727272727272727
1,1,1.0,1.0
3,3,1.0,1.0
1,1,1.0,1.0
12,8,1.5,1.5
8,3,2.6666666666666665,2.3333333333333335
2,2,1.0,1.0
1,1,1.0,1.0
3,3,1.0,1.0
8,8,1.0,1.0
3,2,1.5,1.5
1,1,1.0,1.0
4,4,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
3,1,3.0,2.0
52,12,4.333333333333333,2.5
10,3,3.3333333333333335,3.3333333333333335
1,1,1.0,1.0
2,2,1.0,1.0
1,1,1.0,1.0
6,3,2.0,2.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
10,5,2.0,1.8
3,2,1.5,1.5
1,1,1.0,1.0
1,1,1.0,1.0
48,14,3.4285714285714284,2.9285714285714284
19,14,1.3571428571428572,1.3571428571428572
1,1,1.0,1.0
2,1,2.0,2.0
1,1,1.0,1.0
23,13,1.7692307692307692,1.7692307692307692
1,1,1.0,1.0
3,2,1.5,1.5
1,1,1.0,1.0
14,6,2.3333333333333335,2.0
16,9,1.7777777777777777,1.5555555555555556
2,2,1.0,1.0
11,8,1.375,1.375
39,18,2.1666666666666665,1.6111111111111112
2,2,1.0,1.0
4,3,1.3333333333333333,1.3333333333333333
1,1,1.0,1.0
54,11,4.909090909090909,3.1818181818181817
3,3,1.0,1.0
2,1,2.0,2.0
1,1,1.0,1.0
