total_comments,root_degree,avg_tree_size,avg_depth
1,1,1.0,1.0
4,2,2.0,1.5
5,2,2.5,2.5
4,3,1.3333333333333333,1.3333333333333333
1,1,1.0,1.0
2,2,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
5,5,1.0,1.0
2,2,1.0,1.0
1,1,1.0,1.0
7,6,1.1666666666666667,1.1666666666666667
4,4,1.0,1.0
1,1,1.0,1.0
3,3,1.0,1.0
5,3,1.6666666666666667,1.6666666666666667
1,1,1.0,1.0
27,14,1.9285714285714286,1.9285714285714286
1,1,1.0,1.0
1,1,1.0,1.0
2,2,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
3,3,1.0,1.0
7,6,1.1666666666666667,1.1666666666666667
3,1,3.0,3.0
2,2,1.0,1.0
4,1,4.0,3.0
1,1,1.0,1.0
23,6,3.8333333333333335,2.8333333333333335
7,7,1.0,1.0
1,1,1.0,1.0
3,2,1.5,1.5
33,12,2.75,2.5
208,57,3.6491228070175437,1.7719298245614035
1,1,1.0,1.0
3,3,1.0,1.0
6,6,1.0,1.0
3,2,1.5,1.5
2,2,1.0,1.0
10,5,2.0,2.0
11,5,2.2,1.6
1,1,1.0,1.0
1,1,1.0,1.0
8,5,1.6,1.4
2,2,1.0,1.0
3,3,1.0,1.0
7,5,1.4,1.4
88,37,2.3783783783783785,1.7837837837837838
2,1,2.0,2.0
23,8,2.875,1.875
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
2,2,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
4,3,1.3333333333333333,1.3333333333333333
1,1,1.0,1.0
10,4,2.5,1.5
6,5,1.2,1.2
17,5,3.4,2.2
11,6,1.8333333333333333,1.6666666666666667
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
2,1,2.0,2.0
2,1,2.0,2.0
1,1,1.0,1.0
3,3,1.0,1.0
1,1,1.0,1.0
2,1,2.0,2.0
2,1,2.0,2.0
1,1,1.0,1.0
2,1,2.0,2.0
4,2,2.0,2.0
1,1,1.0,1.0
1,1,1.0,1.0
2,1,2.0,2.0
4,2,2.0,2.0
7,6,1.1666666666666667,1.1666666666666667
24,10,2.4,2.0
5,5,1.0,1.0
6,3,2.0,1.6666666666666667
20,5,4.0,3.6
1,1,1.0,1.0
1,1,1.0,1.0
3,3,1.0,1.0
10,8,1.25,1.25
1,1,1.0,1.0
9,3,3.0,2.3333333333333335
3,2,1.5,1.5
6,5,1.2,1.2
1,1,1.0,1.0
9,3,3.0,2.6666666666666665
4,3,1.3333333333333333,1.3333333333333333
1,1,1.0,1.0
1,1,1.0,1.0
4,4,1.0,1.0
2,1,2.0,2.0
539,125,4.312,2.32
4,4,1.0,1.0
2,2,1.0,1.0
2,2,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
9,4,2.25,2.25
2,1,2.0,2.0
1,1,1.0,1.0
2,2,1.0,1.0
1,1,1.0,1.0
3,2,1.5,1.5
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
4,2,2.0,2.0
1,1,1.0,1.0
